STT,userId,itemId,rating,isvisited
1,1,1,,1
2,1,2,3.0,0
3,1,3,1.0,0
4,1,4,,0
5,1,5,1.0,0
6,1,6,,0
7,1,7,,0
8,1,8,5.0,1
9,1,9,3.0,1
10,1,10,,1
11,1,11,2.0,1
12,1,12,,1
13,1,13,5.0,1
14,1,14,3.0,1
15,1,15,,1
16,1,16,3.0,0
17,1,17,,0
18,1,18,2.0,0
19,1,19,,1
20,1,20,2.0,0
21,1,21,4.0,1
22,1,22,4.0,1
23,1,23,,1
24,1,24,2.0,1
25,1,25,4.0,0
26,1,26,,1
27,1,27,5.0,0
28,1,28,,0
29,1,29,4.0,1
30,1,30,,1
31,1,31,3.0,1
32,1,32,,1
33,2,1,,1
34,2,2,4.0,1
35,2,3,,0
36,2,4,4.0,0
37,2,5,1.0,1
38,2,6,,1
39,2,7,1.0,1
40,2,8,4.0,0
41,2,9,,0
42,2,10,4.0,0
43,2,11,2.0,1
44,2,12,3.0,0
45,2,13,5.0,0
46,2,14,,1
47,2,15,5.0,0
48,2,16,,1
49,2,17,5.0,0
50,2,18,,0
51,2,19,4.0,0
52,2,20,2.0,0
53,2,21,,0
54,2,22,5.0,1
55,2,23,5.0,0
56,2,24,,1
57,2,25,,1
58,2,26,5.0,1
59,2,27,5.0,1
60,2,28,,1
61,2,29,3.0,0
62,2,30,,0
63,2,31,4.0,1
64,2,32,3.0,1
65,3,1,4.0,1
66,3,2,5.0,1
67,3,3,,0
68,3,4,5.0,0
69,3,5,,0
70,3,6,4.0,0
71,3,7,,1
72,3,8,3.0,1
73,3,9,1.0,1
74,3,10,3.0,0
75,3,11,,0
76,3,12,2.0,1
77,3,13,,0
78,3,14,3.0,1
79,3,15,,0
80,3,16,5.0,1
81,3,17,5.0,1
82,3,18,3.0,1
83,3,19,,0
84,3,20,3.0,0
85,3,21,,0
86,3,22,,1
87,3,23,5.0,0
88,3,24,3.0,1
89,3,25,,0
90,3,26,4.0,1
91,3,27,,1
92,3,28,4.0,0
93,3,29,4.0,0
94,3,30,,0
95,3,31,2.0,1
96,3,32,,1
97,4,1,4.0,0
98,4,2,,0
99,4,3,4.0,0
100,4,4,,1
101,4,5,,1
102,4,6,5.0,0
103,4,7,4.0,1
104,4,8,3.0,0
105,4,9,,1
106,4,10,,1
107,4,11,,1
108,4,12,5.0,0
109,4,13,,1
110,4,14,4.0,1
111,4,15,3.0,0
112,4,16,,0
